,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
712,False,/y0L24lZ8HGMsG0G1yKEtgH6MOs2.jpg,"[18, 27, 53]",65086,en,The Woman in Black,"The story follows a young lawyer, Arthur Kipps, who is ordered to travel to a remote village and sort out a recently deceased client’s papers. As he works alone in the client’s isolated house, Kipps begins to uncover tragic secrets, his unease growing when he glimpses a mysterious woman dressed only in black. Receiving only silence from the locals, Kipps is forced to uncover the true identity of the Woman in Black on his own, leading to a desperate race against time when he discovers her true identity.",10.729,/y4Z9m5jbPhFAEMWsMHo71Bh1vzi.jpg,2012-02-03,The Woman in Black,False,6.1,2220
713,False,/wQAwqf2VgSJRyU7u8vNDWl6qXQf.jpg,[35],88042,en,Parental Guidance,Artie and Diane agree to look after their three grandkids when their type-A helicopter parents need to leave town for work. Problems arise when the kids' 21st-century behavior collides with Artie and Diane's old-school methods.,8.459,/1B3y7uToOeuDo0oDxaHANmdAVJi.jpg,2012-12-25,Parental Guidance,False,5.8,285
714,False,/yJT2JCdjtuH5K202bC4YL0wOYD2.jpg,"[12, 16, 35, 10751]",72197,en,The Pirates! In an Adventure with Scientists!,"The luxuriantly bearded Pirate Captain is a boundlessly enthusiastic, if somewhat less-than-successful, terror of the High Seas. With a rag-tag crew at his side, and seemingly blind to the impossible odds stacked against him, the Captain has one dream: to beat his bitter rivals Black Bellamy and Cutlass Liz to the much coveted Pirate of the Year Award. It’s a quest that takes our heroes from the shores of exotic Blood Island to the foggy streets of Victorian London. Along the way they battle a diabolical queen and team up with a haplessly smitten young scientist, but never lose sight of what a pirate loves best: adventure!",12.474,/w5NquAU73QRayUB4ZfF6F6eyY2e.jpg,2012-04-27,The Pirates! In an Adventure with Scientists!,False,6.4,599
715,False,/ePqwTIoJeKJwShMABMst5duBcw9.jpg,"[35, 10402, 10749]",114150,en,Pitch Perfect,"College student Beca knows she does not want to be part of a clique, but that's exactly where she finds herself after arriving at her new school. Thrust in among mean gals, nice gals and just plain weird gals, Beca finds that the only thing they have in common is how well they sing together. She takes the women of the group out of their comfort zone of traditional arrangements and into a world of amazing harmonic combinations in a fight to the top of college music competitions.",14.866,/cLUMPdwCV0Dxd3P1ZkCXe7bVImI.jpg,2012-09-28,Pitch Perfect,False,7.3,4464
716,False,/7NLZUPc4NQan5vMeUe1hyijw3Hn.jpg,"[18, 35, 10749]",82696,en,Hope Springs,"After thirty years of marriage, a middle-aged couple attends an intense, week-long counseling session to work on their relationship.",8.005,/56w8H7i84rI1t8bankC5nO9hBw.jpg,2012-08-07,Hope Springs,False,6.1,448
717,False,/tTSXZG8uHc0olcq9gOneDgLQL5G.jpg,"[10751, 16, 12, 35]",77174,en,ParaNorman,"In the town of Blithe Hollow, Norman Babcock can speak to the dead, but no one other than his eccentric new friend believes his ability is real. One day, Norman's eccentric uncle tells him of a ritual he must perform to protect the town from a curse cast by a witch centuries ago.",9.841,/pfGmWVyGHgdJrdKrZ5RWZpbAhkn.jpg,2012-08-17,ParaNorman,False,6.8,1448
718,False,/8mKomlkHvO753Wc9w2Q25ffc4UC.jpg,[35],77953,en,The Campaign,Two rival politicians compete to win an election to represent their small North Carolina congressional district in the United States House of Representatives.,9.905,/6uH8BOWN60mu2Vd5z4jCaVWb2ix.jpg,2012-08-10,The Campaign,False,5.8,1034
719,False,/4m9HUT27MtGy9VAEz1TMu5itPJK.jpg,"[18, 14]",124471,zh,画皮2,"According to demon lore, it takes hundreds of years to attain human form. Even then, lacking a human heart, a demon cannot experience the true pains and passions of existence. However, there is a legend that if a pure human heart is freely offered to a demon, it can become a mortal and experience true life.  Sequel of Painted Skin (2008).",6.336,/cuHLSpqCjoU1AcyQhS2acB3g2cO.jpg,2012-08-17,Painted Skin: The Resurrection,False,5.8,36
720,False,/mTMnfiWuvhbCdez9LAzbYy0vLSG.jpg,[35],109443,en,Anchorman 2: The Legend Continues,"With the 70s behind him, San Diego's top rated newsman, Ron Burgundy, returns to take New York's first 24-hour news channel by storm.",10.819,/66HbvNKmfxYoOHAp1IVIYQsFoeA.jpg,2013-12-18,Anchorman 2: The Legend Continues,False,6.1,1491
721,False,/lxbMXD12UCj7kMgfqjaZq5irGAu.jpg,"[28, 53]",117263,en,Olympus Has Fallen,"When the White House (Secret Service Code: ""Olympus"") is captured by a terrorist mastermind and the President is kidnapped, disgraced former Presidential guard Mike Banning finds himself trapped within the building. As the national security team scrambles to respond, they are forced to rely on Banning's inside knowledge to help retake the White House, save the President and avert an even bigger disaster.",18.278,/l542hLtKhsmOWEBFoC7Aajk0nKt.jpg,2013-03-22,Olympus Has Fallen,False,6.3,4288
