,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
468,False,/uqseIBb0MH9dXic9RGmGaLvf56q.jpg,"[18, 12, 10749, 53]",1907,en,The Beach,"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",10.232,/4VgPflOJMxlqOYpAqXCm5J6BkYm.jpg,2000-02-11,The Beach,False,6.4,2487
469,False,/2c5rkSPvdLfB0uzuHUtJiZ1sIC8.jpg,[18],10637,en,Remember the Titans,"After leading his football team to 15 winning seasons, coach Bill Yoast is demoted and replaced by Herman Boone – tough, opinionated and as different from the beloved Yoast as he could be. The two men learn to overcome their differences and turn a group of hostile young men into champions.",9.129,/iI12IRzif2VjTkQJRDQw3WyWKdS.jpg,2000-09-29,Remember the Titans,False,7.6,1389
470,False,/yDq3Mi5iqPWqnN1ym5VZrEL07EN.jpg,"[28, 12, 53]",5551,en,Space Cowboys,"Frank Corvin, ‘Hawk’ Hawkins, Jerry O'Neill and ‘Tank’ Sullivan were hotdog members of Project Daedalus, the Air Force's test program for space travel, but their hopes were dashed in 1958 with the formation of NASA and the use of trained chimps. They blackmail their way into orbit when Russia's mysterious ‘Ikon’ communications satellite's orbit begins to degrade and threatens to crash to Earth.",11.071,/aBhWg4uQMnpWnsn8pgNw6mQasOJ.jpg,2000-07-31,Space Cowboys,False,6.4,698
471,False,/prGcR88VZWi7HsRyTdIJRjmHSgC.jpg,"[28, 18, 53, 10752]",3536,en,U-571,"In the midst of World War II, the battle under the sea rages and the Nazis have the upper hand as the Allies are unable to crack their war codes. However, after a wrecked U-boat sends out an SOS signal, the Allies realise this is their chance to seize the 'enigma coding machine'.",12.231,/6zdPIbSF9vxCBZpntNvishPo5ol.jpg,2000-04-21,U-571,False,6.3,568
472,False,/uVqG76HuDLQMl2SXsEiOSHZpeZZ.jpg,"[35, 14, 878, 10749]",12107,en,Nutty Professor II: The Klumps,"The hilarity begins when professor Sherman Klump finds romance with fellow DNA specialist, Denise Gaines, and discovers a brilliant formula that reverses aging. But Sherman's thin and obnoxious alter ego, Buddy Love, wants out...and a big piece of the action. And when Buddy gets loose, things get seriously nutty.",10.603,/r1WXXXtpNBsgCnCTdjT6ERxOcEV.jpg,2000-07-27,Nutty Professor II: The Klumps,False,4.9,730
473,False,/vXT5Gw09k99o9XXqqxBPz9NKgsa.jpg,"[12, 35]",9285,en,Road Trip,Four friends take off on an 1800 mile road trip to retrieve an illicit tape mistakenly mailed to a girl friend.,14.851,/DCoZVnHVvtKTYwfM00dfVRbfUQ.jpg,2000-05-19,Road Trip,False,6.0,961
474,False,/3eAudH9hkkr451VoAZPLEQVy5wX.jpg,"[35, 18, 10402, 10749]",6282,en,Coyote Ugly,"Graced with a velvet voice, 21-year-old Violet Sanford heads to New York to pursue her dream of becoming a songwriter only to find her aspirations sidelined by the accolades and notoriety she receives at her ""day"" job as a barmaid at Coyote Ugly. The ""Coyotes"" as they are affectionately called tantalize customers and the media alike with their outrageous antics, making Coyote Ugly the watering hole for guys on the prowl.",14.603,/p3nIrS9rkdVmMmgKAWtGsmAnhGV.jpg,2000-07-30,Coyote Ugly,False,6.1,1102
475,False,/vlnhKUvu335ZM8wSD27MaFHpNu2.jpg,"[18, 35, 10402]",71,en,Billy Elliot,"Set against the background of the 1984 Miner's Strike, 11-year-old Billy Elliot stumbles out of the boxing ring and onto the ballet floor. He faces many trials and triumphs as he strives to conquer his family's set ways, inner conflict, and standing on his toes.",10.835,/6VaP1H3MOW5jdkWqS5Q1NapCOS6.jpg,2000-10-13,Billy Elliot,False,7.6,2085
476,False,/2p9NtyrnFZtGRyCGN5SBk1eARNK.jpg,"[28, 12, 80, 53]",479,en,Shaft,"New York police detective John Shaft arrests Walter Wade Jr. for a racially motivated slaying. But the only eyewitness disappears, and Wade jumps bail for Switzerland. Two years later Wade returns to face trial, confident his money and influence will get him acquitted -- especially since he's paid a drug kingpin to kill the witness.",15.268,/bqlpFp96uWu2VDpsm4MVvLXdumh.jpg,2000-06-15,Shaft,False,5.8,599
477,False,/vFvI2DPGV4TjYnsvkJtePas7wgz.jpg,"[35, 80]",2069,en,The Whole Nine Yards,"After a mobster agrees to cooperate with an FBI investigation in order to stay out of prison, he's relocated by the authorities to a life of suburban anonymity as part of a witness protection program. It's not long before a couple of his new neighbours figure out his true identity and come knocking to see if he'd be up for one more hit—suburban style.",10.266,/rnXnZrKipVb8v4mS2Oo6Ga2O0fg.jpg,2000-02-18,The Whole Nine Yards,False,6.4,969
478,False,/46aAskiXtvdtAR9ryEOXJPazKpL.jpg,"[27, 878, 53]",8843,en,The Cell,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.,11.098,/tu2rPoVBhEp9fZfOahkqbXSNsxS.jpg,2000-08-17,The Cell,False,6.1,796
479,False,/xPHJ4X3i4O6G9fojMSWQe9zl2Lr.jpg,"[28, 9648, 878]",8452,en,The 6th Day,Futuristic action about a man who meets a clone of himself and stumbles into a grand conspiracy about clones taking over the world.,17.046,/6pBUekwhnjW99V0cLphx7dZE2Wx.jpg,2000-11-17,The 6th Day,False,5.9,1059
480,False,/fYr0fqT9NImOuaN1QgnDHgGh4Ci.jpg,"[12, 16, 878, 10751]",10865,en,Atlantis: The Lost Empire,"The world's most highly qualified crew of archaeologists and explorers is led by historian Milo Thatch as they board the incredible 1,000-foot submarine Ulysses and head deep into the mysteries of the sea. The underwater expedition takes an unexpected turn when the team's mission must switch from exploring Atlantis to protecting it.",17.29,/9kbLIQEj99g5Hb9g1IG3VNdtt3h.jpg,2001-06-15,Atlantis: The Lost Empire,False,6.8,2705
481,False,/ibXhTCxthtwhMj84XJq8W4KtQDt.jpg,"[18, 10749]",824,en,Moulin Rouge!,"A celebration of love and creative inspiration takes place in the infamous, gaudy and glamorous Parisian nightclub, at the cusp of the 20th century. A young poet, who is plunged into the heady world of Moulin Rouge, begins a passionate affair with the club's most notorious and beautiful star.",12.07,/xhuQz2yKPlWvMvvnf2u9RVkAQx6.jpg,2001-05-16,Moulin Rouge!,False,7.6,2743
482,False,/CI4gcw8kes1sbR9ht8rhMc2la7.jpg,"[35, 14, 10749, 10751]",10808,en,Dr. Dolittle 2,"A group of beavers ask Dr. Dolittle to save their habitat from loggers. The only hope is to get the forest preserved because it's the home of a protected bear, but there's a problem: the bear's the only bear in the forest, so she can't reproduce. Undaunted, Dolittle persuades a circus bear to help out, but he has to teach him not just the ways of the wild, but the wiles of lady bears too.",9.786,/aecUc1LobMV56Doj99ZvJR2dXgG.jpg,2001-06-22,Dr. Dolittle 2,False,5.1,941
483,False,/nxhfenC1jb5EcTI5GYxqnjYZMId.jpg,"[35, 10749]",194,fr,Le Fabuleux Destin d'Amélie Poulain,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",15.849,/f0uorE7K7ggHfr8r7pUTOHWkOlE.jpg,2001-11-16,Amélie,False,7.9,6640
484,False,/7u2p0VxnhVMHzfSnxiwz5iD3EP7.jpg,"[28, 36, 10752]",855,en,Black Hawk Down,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground.",23.313,/yUzQ4r3q1Dy0bUAkMvUIwf0rPpR.jpg,2001-12-28,Black Hawk Down,False,7.3,3113
485,False,/ncERp0UvXuImUeJcf27kEANcf1r.jpg,"[35, 10751, 10749]",9880,en,The Princess Diaries,"A socially awkward but very bright 15-year-old girl being raised by a single mom discovers that she is the princess of a small European country because of the recent death of her long-absent father, who, unknown to her, was the crown prince of Genovia. She must make a choice between continuing the life of a San Francisco teen or stepping up to the throne.",16.075,/sxpvHk286sXLJWcFrBMNIsXbYsd.jpg,2001-08-03,The Princess Diaries,False,6.8,2703
486,False,/8eqrTjeswE5yWsAHu3qPRQYJxCO.jpg,"[28, 35, 10751, 12]",10054,en,Spy Kids,"Carmen and Juni think their parents are boring. Little do they know that in their day, Gregorio and Ingrid Cortez were the top secret agents from their respective countries. They gave up that life to raise their children. Now, the disappearances of several of their old colleagues forces the Cortez' return from retirement. What they didn't count on was Carmen and Juni joining the ""family business.""",13.262,/10zMofjfvnKahF8wqZ4nNzVeNps.jpg,2001-03-18,Spy Kids,False,5.7,1948
487,False,/qz9sHMefRk8AqQEZSEYg81t6ZBZ.jpg,"[28, 35, 80, 10749]",6073,en,The Mexican,"Jerry Welbach, a reluctant bagman, has been given two ultimatums: The first is from his mob boss to travel to Mexico and retrieve a priceless antique pistol, known as ""the Mexican""... or suffer the consequences. The second is from his girlfriend Samantha to end his association with the mob. Jerry figures alive and in trouble with Samantha is better than the more permanent alternative, so he heads south of the border.",9.947,/a7PuqWv0ENFg8dt9k51AID6P1kh.jpg,2001-03-01,The Mexican,False,5.8,787
